"","BlackGeneNames"
"461","TRINITY_DN717_c0_g1"
"462","TRINITY_DN29862_c0_g1"
"463","TRINITY_DN34631_c0_g1"
"464","TRINITY_DN28938_c0_g1"
"465","TRINITY_DN74871_c0_g1"
"466","TRINITY_DN7954_c0_g1"
"467","TRINITY_DN635_c2_g1"
"468","TRINITY_DN58210_c0_g1"
"469","TRINITY_DN2432_c1_g1"
"470","TRINITY_DN8305_c0_g1"
"471","TRINITY_DN13365_c0_g1"
"472","TRINITY_DN13785_c0_g1"
"473","TRINITY_DN13171_c0_g1"
"474","TRINITY_DN14207_c0_g1"
"475","TRINITY_DN38248_c0_g1"
"476","TRINITY_DN11669_c0_g1"
"477","TRINITY_DN37796_c0_g2"
"478","TRINITY_DN38798_c0_g1"
"479","TRINITY_DN32107_c0_g1"
"480","TRINITY_DN42032_c0_g1"
"481","TRINITY_DN32945_c0_g1"
"482","TRINITY_DN28217_c0_g1"
"483","TRINITY_DN26824_c0_g1"
"484","TRINITY_DN15837_c0_g1"
"485","TRINITY_DN21616_c0_g1"
"486","TRINITY_DN10742_c0_g1"
"487","TRINITY_DN55750_c0_g1"
"488","TRINITY_DN4824_c0_g1"
"489","TRINITY_DN23474_c0_g1"
"490","TRINITY_DN15881_c0_g1"
"491","TRINITY_DN9768_c0_g1"
"492","TRINITY_DN3921_c0_g1"
"493","TRINITY_DN2582_c1_g2"
"494","TRINITY_DN1398_c0_g1"
"495","TRINITY_DN22720_c0_g1"
"496","TRINITY_DN5884_c0_g1"
"497","TRINITY_DN46714_c0_g1"
"498","TRINITY_DN3197_c0_g1"
"499","TRINITY_DN4597_c1_g1"
"500","TRINITY_DN12260_c0_g1"
"501","TRINITY_DN6679_c1_g1"
"502","TRINITY_DN34075_c0_g1"
"503","TRINITY_DN2931_c5_g1"
"504","TRINITY_DN22558_c0_g1"
"505","TRINITY_DN8750_c0_g1"
"506","TRINITY_DN10688_c0_g1"
"507","TRINITY_DN39045_c0_g1"
"508","TRINITY_DN16616_c0_g1"
"509","TRINITY_DN19201_c0_g1"
"510","TRINITY_DN9818_c0_g1"
"511","TRINITY_DN18909_c0_g1"
"512","TRINITY_DN48834_c0_g1"
"513","TRINITY_DN17513_c0_g1"
"514","TRINITY_DN31759_c0_g1"
"515","TRINITY_DN28944_c0_g1"
"516","TRINITY_DN27081_c0_g1"
"517","TRINITY_DN40509_c0_g1"
"518","TRINITY_DN38322_c0_g1"
"519","TRINITY_DN12748_c0_g1"
"520","TRINITY_DN41476_c0_g1"
"521","TRINITY_DN49421_c0_g1"
"522","TRINITY_DN2518_c0_g1"
"523","TRINITY_DN10276_c1_g1"
"524","TRINITY_DN8386_c1_g1"
"525","TRINITY_DN3730_c1_g1"
"526","TRINITY_DN4369_c1_g1"
"527","TRINITY_DN46952_c0_g1"
"528","TRINITY_DN469_c0_g1"
"529","TRINITY_DN3945_c0_g1"
"530","TRINITY_DN20137_c0_g1"
"531","TRINITY_DN36682_c0_g1"
"532","TRINITY_DN5528_c0_g1"
"533","TRINITY_DN36422_c0_g1"
"534","TRINITY_DN20085_c0_g1"
"535","TRINITY_DN45721_c0_g1"
"536","TRINITY_DN9573_c0_g1"
"537","TRINITY_DN61635_c0_g1"
"538","TRINITY_DN4548_c0_g1"
"539","TRINITY_DN14498_c0_g1"
"540","TRINITY_DN15501_c0_g1"
"541","TRINITY_DN7977_c0_g1"
"542","TRINITY_DN1698_c0_g1"
"543","TRINITY_DN69982_c0_g1"
"544","TRINITY_DN28313_c0_g1"
"545","TRINITY_DN60260_c0_g1"
"546","TRINITY_DN2324_c0_g1"
"547","TRINITY_DN8285_c0_g1"
"548","TRINITY_DN7139_c0_g1"
"549","TRINITY_DN8148_c1_g1"
"550","TRINITY_DN12_c1_g1"
"551","TRINITY_DN36163_c0_g1"
"552","TRINITY_DN37608_c0_g1"
"553","TRINITY_DN2334_c0_g2"
"554","TRINITY_DN43121_c0_g1"
"555","TRINITY_DN12687_c0_g1"
"556","TRINITY_DN28504_c0_g1"
"557","TRINITY_DN42711_c0_g1"
"558","TRINITY_DN2742_c0_g1"
"559","TRINITY_DN7393_c1_g1"
"560","TRINITY_DN6254_c0_g1"
"561","TRINITY_DN57215_c0_g1"
"562","TRINITY_DN1772_c1_g1"
"563","TRINITY_DN29558_c0_g1"
"564","TRINITY_DN6724_c1_g1"
"565","TRINITY_DN22677_c0_g1"
"566","TRINITY_DN43780_c0_g1"
"567","TRINITY_DN22066_c0_g1"
"568","TRINITY_DN18875_c0_g1"
"569","TRINITY_DN800_c0_g3"
"570","TRINITY_DN32106_c0_g1"
"571","TRINITY_DN4644_c0_g1"
"572","TRINITY_DN15693_c0_g1"
"573","TRINITY_DN3366_c1_g1"
"574","TRINITY_DN18269_c0_g1"
"575","TRINITY_DN2973_c0_g1"
"576","TRINITY_DN21628_c0_g1"
"577","TRINITY_DN31132_c0_g1"
"578","TRINITY_DN2219_c1_g1"
"579","TRINITY_DN11043_c0_g1"
"580","TRINITY_DN960_c0_g1"
"581","TRINITY_DN15279_c0_g1"
"582","TRINITY_DN3297_c0_g1"
"583","TRINITY_DN40039_c0_g1"
"584","TRINITY_DN44240_c0_g1"
"585","TRINITY_DN22180_c0_g1"
"586","TRINITY_DN41565_c0_g1"
"587","TRINITY_DN37334_c0_g1"
"588","TRINITY_DN93369_c0_g1"
"589","TRINITY_DN15088_c0_g1"
"590","TRINITY_DN4342_c0_g1"
"591","TRINITY_DN26559_c0_g1"
"592","TRINITY_DN35828_c0_g1"
"593","TRINITY_DN6602_c0_g1"
"594","TRINITY_DN66318_c0_g1"
"595","TRINITY_DN9438_c0_g1"
"596","TRINITY_DN2854_c1_g1"
"597","TRINITY_DN14678_c0_g1"
"598","TRINITY_DN64963_c0_g1"
"599","TRINITY_DN76638_c0_g1"
"600","TRINITY_DN30697_c0_g1"
"601","TRINITY_DN33473_c0_g1"
"602","TRINITY_DN9616_c0_g1"
"603","TRINITY_DN8160_c0_g2"
"604","TRINITY_DN1333_c2_g1"
"605","TRINITY_DN22807_c0_g1"
"606","TRINITY_DN49405_c0_g1"
"607","TRINITY_DN10504_c0_g1"
"608","TRINITY_DN28150_c0_g1"
"609","TRINITY_DN11199_c0_g1"
"610","TRINITY_DN26067_c0_g1"
"611","TRINITY_DN1785_c0_g1"
"612","TRINITY_DN1476_c0_g1"
"613","TRINITY_DN9752_c0_g1"
"614","TRINITY_DN34995_c0_g1"
"615","TRINITY_DN3412_c0_g1"
"616","TRINITY_DN4445_c0_g1"
"617","TRINITY_DN28890_c0_g1"
"618","TRINITY_DN5768_c0_g1"
"619","TRINITY_DN16676_c0_g1"
"620","TRINITY_DN497_c0_g1"
"621","TRINITY_DN4936_c0_g1"
"622","TRINITY_DN6106_c0_g1"
"623","TRINITY_DN20222_c0_g1"
"624","TRINITY_DN552_c0_g2"
"625","TRINITY_DN51_c0_g1"
"626","TRINITY_DN19356_c0_g1"
"627","TRINITY_DN15270_c0_g1"
"628","TRINITY_DN6291_c0_g1"
"629","TRINITY_DN14733_c0_g1"
"630","TRINITY_DN24783_c0_g1"
"631","TRINITY_DN6729_c0_g1"
"632","TRINITY_DN9191_c0_g1"
"633","TRINITY_DN14657_c0_g2"
"634","TRINITY_DN12056_c0_g1"
"635","TRINITY_DN447_c0_g1"
"636","TRINITY_DN24162_c0_g1"
"637","TRINITY_DN1323_c0_g1"
"638","TRINITY_DN8050_c0_g1"
"639","TRINITY_DN22054_c0_g1"
"640","TRINITY_DN12018_c0_g1"
"641","TRINITY_DN39410_c0_g1"
"642","TRINITY_DN29450_c0_g1"
"643","TRINITY_DN4537_c0_g1"
"644","TRINITY_DN45706_c0_g1"
"645","TRINITY_DN30588_c0_g1"
"646","TRINITY_DN1461_c0_g1"
"647","TRINITY_DN25354_c0_g1"
"648","TRINITY_DN4207_c0_g1"
"649","TRINITY_DN32483_c0_g1"
"650","TRINITY_DN3677_c0_g1"
"651","TRINITY_DN9638_c0_g1"
"652","TRINITY_DN813_c0_g1"
"653","TRINITY_DN252_c0_g1"
"654","TRINITY_DN873_c0_g1"
"655","TRINITY_DN1589_c4_g2"
"656","TRINITY_DN36693_c0_g1"
"657","TRINITY_DN5005_c2_g1"
"658","TRINITY_DN7219_c0_g1"
"659","TRINITY_DN36059_c0_g1"
"660","TRINITY_DN25884_c0_g1"
"661","TRINITY_DN76338_c0_g1"
"662","TRINITY_DN8960_c0_g1"
"663","TRINITY_DN6396_c0_g1"
"664","TRINITY_DN58684_c0_g1"
"665","TRINITY_DN28012_c1_g1"
"666","TRINITY_DN37319_c0_g1"
