"","BlueGeneNames"
"470","TRINITY_DN8231_c0_g1"
"471","TRINITY_DN5898_c0_g1"
"472","TRINITY_DN535_c1_g1"
"473","TRINITY_DN24172_c0_g1"
"474","TRINITY_DN10618_c0_g1"
"475","TRINITY_DN37786_c0_g1"
"476","TRINITY_DN8065_c0_g1"
"477","TRINITY_DN24632_c0_g1"
"478","TRINITY_DN9890_c0_g1"
"479","TRINITY_DN47813_c0_g1"
"480","TRINITY_DN15989_c0_g1"
"481","TRINITY_DN77264_c0_g1"
"482","TRINITY_DN7514_c0_g1"
"483","TRINITY_DN51387_c0_g1"
"484","TRINITY_DN34255_c0_g1"
"485","TRINITY_DN29939_c0_g1"
"486","TRINITY_DN1142_c0_g1"
"487","TRINITY_DN463_c0_g1"
"488","TRINITY_DN8925_c0_g1"
"489","TRINITY_DN3134_c0_g1"
"490","TRINITY_DN12441_c0_g1"
"491","TRINITY_DN2730_c0_g2"
"492","TRINITY_DN3665_c0_g1"
"493","TRINITY_DN7673_c0_g1"
"494","TRINITY_DN22850_c0_g1"
"495","TRINITY_DN5571_c0_g1"
"496","TRINITY_DN2689_c0_g2"
"497","TRINITY_DN3839_c2_g1"
"498","TRINITY_DN11402_c0_g1"
"499","TRINITY_DN29196_c0_g1"
"500","TRINITY_DN571_c0_g1"
"501","TRINITY_DN4083_c0_g1"
"502","TRINITY_DN4648_c0_g1"
"503","TRINITY_DN16880_c0_g1"
"504","TRINITY_DN7601_c0_g1"
"505","TRINITY_DN5869_c0_g1"
"506","TRINITY_DN37884_c0_g1"
"507","TRINITY_DN18009_c0_g1"
"508","TRINITY_DN1563_c0_g1"
"509","TRINITY_DN58933_c0_g1"
"510","TRINITY_DN6053_c0_g1"
"511","TRINITY_DN3227_c0_g1"
"512","TRINITY_DN14781_c0_g1"
"513","TRINITY_DN6646_c0_g1"
"514","TRINITY_DN15224_c0_g1"
"515","TRINITY_DN5773_c1_g1"
"516","TRINITY_DN17598_c0_g1"
"517","TRINITY_DN13574_c1_g1"
"518","TRINITY_DN16400_c0_g1"
"519","TRINITY_DN4038_c0_g1"
"520","TRINITY_DN15181_c4_g1"
"521","TRINITY_DN18134_c0_g1"
"522","TRINITY_DN3378_c0_g1"
"523","TRINITY_DN8601_c0_g1"
"524","TRINITY_DN12380_c0_g1"
"525","TRINITY_DN11431_c0_g2"
"526","TRINITY_DN13473_c0_g1"
"527","TRINITY_DN23188_c0_g1"
"528","TRINITY_DN23286_c0_g1"
"529","TRINITY_DN6133_c0_g1"
"530","TRINITY_DN20265_c0_g1"
"531","TRINITY_DN5619_c0_g1"
"532","TRINITY_DN22115_c0_g1"
"533","TRINITY_DN8180_c0_g1"
"534","TRINITY_DN4206_c1_g1"
"535","TRINITY_DN15707_c2_g1"
"536","TRINITY_DN6934_c0_g1"
"537","TRINITY_DN19465_c0_g1"
"538","TRINITY_DN19685_c0_g1"
"539","TRINITY_DN21338_c0_g1"
"540","TRINITY_DN2656_c0_g1"
"541","TRINITY_DN13160_c0_g1"
"542","TRINITY_DN24867_c0_g1"
"543","TRINITY_DN15731_c0_g1"
"544","TRINITY_DN18402_c0_g1"
"545","TRINITY_DN2861_c0_g1"
"546","TRINITY_DN491_c2_g1"
"547","TRINITY_DN3122_c0_g1"
"548","TRINITY_DN1244_c0_g1"
"549","TRINITY_DN12557_c0_g1"
"550","TRINITY_DN1484_c0_g1"
"551","TRINITY_DN1295_c0_g1"
"552","TRINITY_DN1752_c0_g1"
"553","TRINITY_DN23613_c0_g1"
"554","TRINITY_DN4567_c0_g1"
"555","TRINITY_DN451_c0_g1"
"556","TRINITY_DN10008_c0_g1"
"557","TRINITY_DN1215_c0_g1"
"558","TRINITY_DN4927_c1_g1"
"559","TRINITY_DN2027_c0_g1"
"560","TRINITY_DN3938_c0_g1"
"561","TRINITY_DN1144_c0_g1"
"562","TRINITY_DN31058_c0_g1"
"563","TRINITY_DN696_c0_g1"
"564","TRINITY_DN21260_c0_g1"
"565","TRINITY_DN1724_c1_g1"
"566","TRINITY_DN77268_c0_g1"
"567","TRINITY_DN23689_c0_g1"
"568","TRINITY_DN32911_c0_g1"
"569","TRINITY_DN3786_c5_g1"
"570","TRINITY_DN23222_c0_g1"
"571","TRINITY_DN1921_c0_g1"
"572","TRINITY_DN5710_c0_g1"
"573","TRINITY_DN139_c0_g1"
"574","TRINITY_DN518_c6_g1"
"575","TRINITY_DN24811_c0_g1"
