"","turqGeneNames"
"462","TRINITY_DN13037_c0_g1"
"463","TRINITY_DN4464_c0_g1"
"464","TRINITY_DN6105_c0_g1"
"465","TRINITY_DN1943_c0_g1"
"466","TRINITY_DN3840_c0_g1"
"467","TRINITY_DN6310_c0_g1"
"468","TRINITY_DN9097_c1_g1"
"469","TRINITY_DN5750_c0_g1"
"470","TRINITY_DN18053_c0_g1"
"471","TRINITY_DN2138_c0_g1"
"472","TRINITY_DN15930_c0_g1"
"473","TRINITY_DN1011_c0_g1"
"474","TRINITY_DN4780_c0_g1"
"475","TRINITY_DN6045_c0_g1"
"476","TRINITY_DN10123_c0_g1"
"477","TRINITY_DN9704_c0_g2"
"478","TRINITY_DN17071_c0_g1"
"479","TRINITY_DN11581_c0_g1"
"480","TRINITY_DN2621_c1_g1"
"481","TRINITY_DN679_c1_g1"
"482","TRINITY_DN13_c1_g2"
"483","TRINITY_DN6773_c0_g1"
"484","TRINITY_DN5454_c0_g1"
"485","TRINITY_DN3910_c0_g1"
"486","TRINITY_DN7048_c0_g1"
"487","TRINITY_DN9026_c0_g1"
"488","TRINITY_DN1073_c1_g1"
"489","TRINITY_DN5694_c0_g1"
"490","TRINITY_DN4240_c0_g1"
"491","TRINITY_DN3009_c0_g1"
"492","TRINITY_DN21471_c0_g1"
"493","TRINITY_DN2537_c0_g1"
"494","TRINITY_DN8963_c0_g1"
"495","TRINITY_DN33972_c0_g1"
"496","TRINITY_DN34319_c0_g1"
"497","TRINITY_DN1999_c1_g1"
"498","TRINITY_DN3223_c0_g1"
"499","TRINITY_DN1804_c0_g1"
"500","TRINITY_DN23818_c0_g1"
"501","TRINITY_DN18132_c0_g1"
"502","TRINITY_DN309_c1_g2"
"503","TRINITY_DN9250_c0_g1"
"504","TRINITY_DN11204_c0_g1"
"505","TRINITY_DN24124_c1_g1"
"506","TRINITY_DN2288_c0_g1"
"507","TRINITY_DN1438_c0_g1"
"508","TRINITY_DN6584_c0_g1"
"509","TRINITY_DN4943_c0_g1"
"510","TRINITY_DN10382_c0_g1"
"511","TRINITY_DN3809_c0_g1"
"512","TRINITY_DN11051_c0_g1"
"513","TRINITY_DN10150_c0_g1"
"514","TRINITY_DN5911_c0_g1"
"515","TRINITY_DN3938_c1_g1"
"516","TRINITY_DN1851_c0_g1"
"517","TRINITY_DN5765_c0_g1"
"518","TRINITY_DN3192_c0_g1"
"519","TRINITY_DN11182_c1_g1"
"520","TRINITY_DN10922_c0_g1"
"521","TRINITY_DN163_c0_g1"
"522","TRINITY_DN5261_c0_g1"
"523","TRINITY_DN100034_c0_g1"
"524","TRINITY_DN22573_c0_g1"
"525","TRINITY_DN18028_c0_g1"
"526","TRINITY_DN5547_c0_g1"
"527","TRINITY_DN3537_c2_g1"
"528","TRINITY_DN4299_c0_g1"
"529","TRINITY_DN14823_c0_g1"
"530","TRINITY_DN828_c0_g1"
"531","TRINITY_DN10822_c0_g2"
"532","TRINITY_DN100587_c0_g1"
"533","TRINITY_DN14026_c1_g1"
"534","TRINITY_DN5487_c0_g1"
"535","TRINITY_DN7838_c0_g2"
"536","TRINITY_DN15_c1_g1"
"537","TRINITY_DN113536_c0_g1"
"538","TRINITY_DN17740_c0_g1"
"539","TRINITY_DN7677_c0_g1"
"540","TRINITY_DN5607_c0_g1"
"541","TRINITY_DN4177_c0_g1"
"542","TRINITY_DN4325_c1_g1"
"543","TRINITY_DN1858_c0_g1"
"544","TRINITY_DN55969_c0_g1"
"545","TRINITY_DN16950_c0_g1"
"546","TRINITY_DN695_c0_g1"
"547","TRINITY_DN35_c1_g1"
"548","TRINITY_DN11719_c0_g1"
"549","TRINITY_DN43769_c0_g1"
"550","TRINITY_DN52675_c0_g1"
"551","TRINITY_DN7486_c1_g1"
"552","TRINITY_DN6113_c0_g1"
"553","TRINITY_DN4028_c0_g1"
"554","TRINITY_DN6177_c1_g1"
"555","TRINITY_DN27030_c0_g1"
"556","TRINITY_DN10315_c0_g1"
"557","TRINITY_DN11525_c0_g1"
"558","TRINITY_DN2493_c0_g1"
"559","TRINITY_DN743_c0_g1"
"560","TRINITY_DN19155_c0_g1"
"561","TRINITY_DN13197_c0_g1"
"562","TRINITY_DN8136_c0_g1"
"563","TRINITY_DN9877_c0_g1"
"564","TRINITY_DN26894_c0_g1"
"565","TRINITY_DN9495_c0_g1"
"566","TRINITY_DN4846_c0_g1"
"567","TRINITY_DN3069_c0_g1"
"568","TRINITY_DN26558_c0_g1"
"569","TRINITY_DN27640_c0_g1"
"570","TRINITY_DN21127_c0_g1"
"571","TRINITY_DN532_c0_g1"
"572","TRINITY_DN2135_c1_g1"
"573","TRINITY_DN3973_c0_g1"
"574","TRINITY_DN2929_c0_g1"
"575","TRINITY_DN41643_c0_g1"
"576","TRINITY_DN12217_c0_g1"
"577","TRINITY_DN3315_c3_g1"
"578","TRINITY_DN3503_c1_g1"
"579","TRINITY_DN7806_c0_g1"
"580","TRINITY_DN8574_c0_g1"
"581","TRINITY_DN9709_c0_g1"
"582","TRINITY_DN6418_c0_g1"
"583","TRINITY_DN1859_c0_g1"
"584","TRINITY_DN1691_c0_g1"
"585","TRINITY_DN2010_c0_g1"
"586","TRINITY_DN17635_c0_g1"
"587","TRINITY_DN498_c6_g1"
"588","TRINITY_DN19567_c0_g1"
"589","TRINITY_DN1977_c3_g1"
"590","TRINITY_DN10723_c0_g1"
"591","TRINITY_DN8525_c0_g1"
"592","TRINITY_DN73314_c0_g1"
"593","TRINITY_DN5604_c0_g1"
"594","TRINITY_DN977_c0_g1"
"595","TRINITY_DN2178_c0_g1"
"596","TRINITY_DN3443_c0_g1"
"597","TRINITY_DN8692_c0_g1"
"598","TRINITY_DN10428_c0_g1"
"599","TRINITY_DN35947_c0_g1"
"600","TRINITY_DN12582_c0_g1"
"601","TRINITY_DN8185_c0_g1"
"602","TRINITY_DN2312_c0_g1"
"603","TRINITY_DN282_c0_g1"
"604","TRINITY_DN4637_c0_g1"
"605","TRINITY_DN4163_c0_g1"
"606","TRINITY_DN14706_c0_g1"
"607","TRINITY_DN8343_c0_g1"
"608","TRINITY_DN12904_c0_g1"
"609","TRINITY_DN3633_c0_g1"
"610","TRINITY_DN6285_c0_g1"
"611","TRINITY_DN11710_c0_g1"
"612","TRINITY_DN167_c0_g1"
"613","TRINITY_DN7750_c0_g1"
"614","TRINITY_DN6775_c0_g1"
"615","TRINITY_DN5986_c0_g1"
"616","TRINITY_DN6876_c0_g1"
"617","TRINITY_DN4436_c0_g1"
"618","TRINITY_DN4199_c0_g1"
"619","TRINITY_DN1676_c0_g1"
"620","TRINITY_DN29123_c0_g1"
"621","TRINITY_DN6221_c0_g1"
"622","TRINITY_DN176_c0_g1"
"623","TRINITY_DN6457_c0_g1"
"624","TRINITY_DN4106_c0_g1"
"625","TRINITY_DN3654_c0_g3"
"626","TRINITY_DN4420_c0_g1"
"627","TRINITY_DN10301_c0_g1"
"628","TRINITY_DN4480_c0_g1"
"629","TRINITY_DN5807_c0_g1"
"630","TRINITY_DN18353_c0_g1"
"631","TRINITY_DN1994_c0_g1"
"632","TRINITY_DN5276_c0_g1"
"633","TRINITY_DN6746_c0_g1"
"634","TRINITY_DN1776_c0_g1"
"635","TRINITY_DN2_c0_g1"
"636","TRINITY_DN768_c0_g1"
"637","TRINITY_DN1152_c0_g1"
"638","TRINITY_DN7702_c0_g1"
"639","TRINITY_DN2583_c1_g2"
"640","TRINITY_DN4808_c0_g1"
"641","TRINITY_DN3880_c0_g1"
"642","TRINITY_DN2341_c4_g1"
"643","TRINITY_DN11816_c0_g1"
